date,cases,country,size
05-06-2020,177,Italy,10
05-06-2020,46,Japan,10
05-06-2020,8831,Russia,10
05-06-2020,21140,United States of America,10
06-06-2020,6,China,10
06-06-2020,9887,India,10
06-06-2020,518,Italy,10
06-06-2020,39,Japan,10
06-06-2020,8726,Russia,10
06-06-2020,25178,United States of America,10
07-06-2020,9,China,10
07-06-2020,9971,India,10
07-06-2020,270,Italy,10
07-06-2020,38,Japan,10
07-06-2020,8855,Russia,10
07-06-2020,22223,United States of America,10
08-06-2020,5,China,10
08-06-2020,9983,India,10
08-06-2020,197,Italy,10
08-06-2020,33,Japan,10
08-06-2020,8984,Russia,10
08-06-2020,22302,United States of America,10
09-06-2020,3,China,10
09-06-2020,9987,India,10
09-06-2020,280,Italy,10
09-06-2020,36,Japan,10
09-06-2020,8985,Russia,10
09-06-2020,18822,United States of America,10
10-06-2020,4,China,10
10-06-2020,9985,India,10
10-06-2020,283,Italy,10
10-06-2020,41,Japan,10
10-06-2020,8595,Russia,10
10-06-2020,18665,United States of America,10
11-06-2020,11,China,10
11-06-2020,9996,India,10
11-06-2020,202,Italy,10
11-06-2020,41,Japan,10
11-06-2020,8404,Russia,10
11-06-2020,20614,United States of America,10
12-06-2020,7,China,10
12-06-2020,10956,India,10
12-06-2020,379,Italy,10
12-06-2020,40,Japan,10
12-06-2020,8779,Russia,10
12-06-2020,22883,United States of America,10
13-06-2020,12,China,10
13-06-2020,11458,India,10
13-06-2020,163,Italy,10
13-06-2020,50,Japan,10
13-06-2020,8987,Russia,10
13-06-2020,25639,United States of America,10
14-06-2020,60,China,10
14-06-2020,11929,India,10
14-06-2020,346,Italy,10
14-06-2020,47,Japan,10
14-06-2020,8706,Russia,10
14-06-2020,25540,United States of America,10
15-06-2020,47,China,10
15-06-2020,11502,India,10
15-06-2020,338,Italy,10
15-06-2020,73,Japan,10
15-06-2020,8835,Russia,10
15-06-2020,19543,United States of America,10
16-06-2020,43,China,10
16-06-2020,10667,India,10
16-06-2020,301,Italy,10
16-06-2020,85,Japan,10
16-06-2020,8246,Russia,10
16-06-2020,19957,United States of America,10
